n_components,n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
100,50,10.0,5,log2,1,0.7360406091370558,0.6908348553726626,0.8970431483183663,0.7745644599303138,0.5223329067230225,0.025354862213134766
100,50,10.0,5,log2,2,0.6954314720812182,0.6534982313112223,0.8899146033227616,0.7724738675958187,0.5148539543151855,0.029468059539794922
100,100,,2,sqrt,1,0.7563451776649747,0.7065030044036581,0.9581240233821834,0.8243902439024389,1.9831531047821045,0.04960012435913086
100,100,,2,sqrt,2,0.7741116751269036,0.7254295684017172,0.9449007131670338,0.8296167247386759,2.1959660053253174,0.05845308303833008
100,100,,2,log2,1,0.7766497461928934,0.7240396477694837,0.950596239639948,0.8296167247386759,1.382718801498413,0.053459882736206055
100,100,,2,log2,2,0.7741116751269036,0.7242399451079048,0.9468714480625829,0.8303135888501743,1.261962890625,0.05064702033996582
100,100,,5,sqrt,1,0.7817258883248731,0.7286347915055259,0.9499071580438418,0.8261324041811846,1.976125955581665,0.04042410850524902
100,100,,5,sqrt,2,0.7588832487309645,0.706278565966538,0.9407809625293243,0.8212543554006968,1.9777979850769043,0.04742693901062012
100,100,,5,log2,1,0.7588832487309645,0.7082345119692787,0.9488448808482682,0.8299651567944251,1.298098087310791,0.03885173797607422
100,100,,5,log2,2,0.7639593908629442,0.7104409406281993,0.9419931684088415,0.8243902439024391,1.2592740058898926,0.0362401008605957
100,100,10.0,2,sqrt,1,0.751269035532995,0.7104306980283269,0.9191055100462983,0.7878048780487805,1.4732449054718018,0.03737902641296387
100,100,10.0,2,sqrt,2,0.751269035532995,0.712607905937653,0.9011856160195413,0.7853658536585366,1.40814208984375,0.04059314727783203
100,100,10.0,2,log2,1,0.7360406091370558,0.6912714823707039,0.9039340245132705,0.778397212543554,0.9865028858184814,0.03761005401611328
100,100,10.0,2,log2,2,0.7461928934010152,0.7055800315739679,0.8938432401046121,0.7867595818815332,0.9574851989746094,0.05126523971557617
100,100,10.0,5,sqrt,1,0.751269035532995,0.7061321571513457,0.9029733512660343,0.7843205574912891,1.5056047439575195,0.03860282897949219
100,100,10.0,5,sqrt,2,0.7106598984771574,0.666889467766134,0.9076123549743093,0.7846689895470382,1.4950001239776611,0.037995100021362305
100,100,10.0,5,log2,1,0.7436548223350253,0.6988776344368172,0.9033893824108951,0.7839721254355401,0.9873647689819336,0.04193615913391113
100,100,10.0,5,log2,2,0.7360406091370558,0.6939377453969434,0.8987186348062162,0.778397212543554,1.0097646713256836,0.03739309310913086
200,50,,2,sqrt,1,0.7791878172588832,0.7340031495996115,0.9598683848819874,0.8,1.5929803848266602,0.027518272399902344
200,50,,2,sqrt,2,0.7791878172588832,0.7292684053975826,0.9379852769034454,0.791637630662021,1.3597891330718994,0.03345799446105957
200,50,,2,log2,1,0.7690355329949239,0.7281009544379413,0.9560041809168989,0.8010452961672474,0.8398251533508301,0.029800891876220703
200,50,,2,log2,2,0.7639593908629442,0.72087596650704,0.9523408633356212,0.8020905923344948,0.7784581184387207,0.03922390937805176
200,50,,5,sqrt,1,0.7741116751269036,0.7298344769768426,0.9610940817865443,0.802787456445993,1.5096142292022705,0.025957822799682617
200,50,,5,sqrt,2,0.751269035532995,0.7047051990362522,0.938060552383662,0.8,1.4131789207458496,0.029651880264282227
200,50,,5,log2,1,0.7893401015228426,0.743981267173365,0.9525142228139029,0.7965156794425088,0.999161958694458,0.039357900619506836
200,50,,5,log2,2,0.7614213197969543,0.7198056233128752,0.938501533238733,0.7965156794425087,0.802391767501831,0.0281522274017334
200,50,10.0,2,sqrt,1,0.7538071065989848,0.7201014674598305,0.9093856220493145,0.7668989547038326,1.0046818256378174,0.033438920974731445
200,50,10.0,2,sqrt,2,0.7233502538071066,0.6884734079232462,0.9022483587861809,0.7662020905923346,0.9997098445892334,0.02872776985168457
200,50,10.0,2,log2,1,0.7639593908629442,0.730623530787569,0.9082226262517397,0.7662020905923346,0.695784330368042,0.02822589874267578
