n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time,holdout_cv_diff
100,20.0,5,log2,2,0.7050139275766016,0.6912141271386572,0.6893605746738303,0.7111420612813371,3.0125279426574707,0.12122988700866699,-0.006128133704735417
200,,2,sqrt,1,0.7409470752089137,0.6946407533957799,0.6723917038265471,0.748816155988858,6.980108022689819,0.2712557315826416,-0.007869080779944304
200,,2,sqrt,2,0.7178272980501392,0.6937061528241568,0.6824755745572376,0.7240250696378829,5.879699945449829,0.21147823333740234,-0.006197771587743706
200,,2,log2,1,0.7409470752089137,0.6946407533957799,0.6723917038265471,0.748816155988858,7.736181974411011,0.28465700149536133,-0.007869080779944304
200,,2,log2,2,0.7178272980501392,0.6937061528241568,0.6824755745572376,0.7240250696378829,13.705968141555786,0.3660740852355957,-0.006197771587743706
200,,5,sqrt,1,0.7231197771587744,0.6949154899099176,0.6795352315619342,0.732242339832869,6.636476993560791,0.28156495094299316,-0.009122562674094614
200,,5,sqrt,2,0.7091922005571031,0.6907672482490245,0.6793943878721095,0.7172701949860725,5.573718786239624,0.21035313606262207,-0.008077994428969393
200,,5,log2,1,0.7231197771587744,0.6949154899099176,0.6795352315619342,0.732242339832869,6.124592304229736,0.218458890914917,-0.009122562674094614
200,,5,log2,2,0.7091922005571031,0.6907672482490245,0.6793943878721095,0.7172701949860725,5.478243827819824,0.23301196098327637,-0.008077994428969393
200,10.0,2,sqrt,1,0.5311977715877437,0.5854891181542204,0.6621916362000119,0.5505571030640668,5.879621982574463,0.5113787651062012,-0.01935933147632307
200,10.0,2,sqrt,2,0.5050139275766017,0.5657542046757045,0.6732108576449921,0.5372562674094707,4.209280967712402,0.1271350383758545,-0.03224233983286906
200,10.0,2,log2,1,0.5311977715877437,0.5854891181542204,0.6621916362000119,0.5505571030640668,3.9625110626220703,0.1265709400177002,-0.01935933147632307
200,10.0,2,log2,2,0.5050139275766017,0.5657542046757045,0.6732108576449921,0.5372562674094707,3.8491129875183105,0.13159871101379395,-0.03224233983286906
200,10.0,5,sqrt,1,0.5158774373259053,0.5739402034232317,0.6734529649187391,0.5422701949860723,3.771044969558716,0.12359285354614258,-0.02639275766016702
200,10.0,5,sqrt,2,0.5041782729805014,0.5647956770588911,0.673003582938079,0.5330779944289694,4.205833911895752,0.11911582946777344,-0.028899721448467974
200,10.0,5,log2,1,0.5158774373259053,0.5739402034232317,0.6734529649187391,0.5422701949860723,4.123183965682983,0.13623523712158203,-0.02639275766016702
