n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time,holdout_cv_diff
200,10.0,2,sqrt,2,0.8625,0.862281635917101,0.978,0.8712500000000001,0.9596951007843018,0.03147602081298828,-0.008750000000000036
200,10.0,2,log2,1,0.855,0.8546262921028663,0.977925,0.865625,1.1187400817871094,0.046527862548828125,-0.010624999999999996
200,10.0,2,log2,2,0.8625,0.862281635917101,0.978,0.8712500000000001,1.0148968696594238,0.030910968780517578,-0.008750000000000036
200,10.0,5,sqrt,1,0.8675,0.8675534458845473,0.9774583333333333,0.8699999999999999,1.5776572227478027,0.052727699279785156,-0.0024999999999998357
200,10.0,5,sqrt,2,0.8775,0.8770812341342221,0.9784499999999999,0.8675,1.5035371780395508,0.050856828689575195,0.009999999999999898
200,10.0,5,log2,1,0.8675,0.8675534458845473,0.9774583333333333,0.8699999999999999,1.9003639221191406,0.031091928482055664,-0.0024999999999998357
200,10.0,5,log2,2,0.8775,0.8770812341342221,0.9784499999999999,0.8675,1.163128137588501,0.06400012969970703,0.009999999999999898
200,20.0,2,sqrt,1,0.8875,0.8874244444494497,0.9808083333333333,0.874375,1.0831019878387451,0.03254127502441406,0.013124999999999942
200,20.0,2,sqrt,2,0.8775,0.8767535103765488,0.9804833333333334,0.868125,1.6137638092041016,0.057602882385253906,0.009374999999999911
200,20.0,2,log2,1,0.8875,0.8874244444494497,0.9808083333333333,0.874375,1.0615952014923096,0.030862092971801758,0.013124999999999942
200,20.0,2,log2,2,0.8775,0.8767535103765488,0.9804833333333334,0.868125,2.1280570030212402,0.030888080596923828,0.009374999999999911
200,20.0,5,sqrt,1,0.8675,0.8671526803032293,0.9813,0.8625,1.9572877883911133,0.034741878509521484,0.0050000000000000044
200,20.0,5,sqrt,2,0.88,0.8796332028594006,0.9806916666666667,0.8706249999999999,1.6789050102233887,0.06743717193603516,0.009375000000000133
200,20.0,5,log2,1,0.8675,0.8671526803032293,0.9813,0.8625,2.178886890411377,0.141754150390625,0.0050000000000000044
200,20.0,5,log2,2,0.88,0.8796332028594006,0.9806916666666667,0.8706249999999999,2.2897629737854004,0.05408120155334473,0.009375000000000133
